# E1 = 1 E2 = 1 E3 = 1 m = 0.05 Eps = 0.5
# Time    Y_1                 Y_2                 Y_3                 
2.81      0.140904            0.345766            1.62269             
2.815     0.141393            0.344344            1.61738             
2.82      0.141889            0.342928            1.61209             
2.825     0.142391            0.341519            1.60679             
2.83      0.142899            0.340116            1.6015              
2.835     0.143414            0.33872             1.59622             
2.84      0.143934            0.337329            1.59095             
2.845     0.144461            0.335946            1.58568             
2.85      0.144994            0.334568            1.58042             
2.855     0.145534            0.333197            1.57516             
2.86      0.14608             0.331832            1.56992             
2.865     0.146633            0.330473            1.56468             
2.87      0.147192            0.329121            1.55944             
2.875     0.147758            0.327775            1.55421             
2.88      0.14833             0.326435            1.54899             
2.885     0.148909            0.325101            1.54378             
2.89      0.149495            0.323774            1.53857             
2.895     0.150088            0.322452            1.53338             
2.9       0.150687            0.321137            1.52818             
2.905     0.151293            0.319828            1.523               
2.91      0.151906            0.318525            1.51783             
2.915     0.152526            0.317228            1.51266             
2.92      0.153153            0.315937            1.5075              
2.925     0.153787            0.314652            1.50235             
2.93      0.154428            0.313374            1.4972              
2.935     0.155077            0.312101            1.49207             
2.94      0.155732            0.310834            1.48694             
2.945     0.156395            0.309573            1.48182             
2.95      0.157065            0.308318            1.47671             
2.955     0.157742            0.307069            1.4716              
2.96      0.158427            0.305826            1.46651             
2.965     0.15912             0.304589            1.46142             
2.97      0.159819            0.303358            1.45635             
2.975     0.160527            0.302132            1.45128             
2.98      0.161242            0.300913            1.44622             
2.985     0.161964            0.299699            1.44117             
2.99      0.162695            0.298491            1.43613             
2.995     0.163433            0.297289            1.43109             
3         0.164179            0.296092            1.42607             
3.005     0.164933            0.294902            1.42106             
3.01      0.165695            0.293717            1.41605             
3.015     0.166465            0.292537            1.41105             
3.02      0.167243            0.291364            1.40607             
3.025     0.168029            0.290196            1.40109             
3.03      0.168824            0.289034            1.39612             
3.035     0.169627            0.287877            1.39116             
3.04      0.170438            0.286726            1.38622             
3.045     0.171257            0.285581            1.38128             
3.05      0.172085            0.284441            1.37635             
3.055     0.172921            0.283307            1.37143             
3.06      0.173766            0.282178            1.36652             
3.065     0.17462             0.281055            1.36162             
3.07      0.175482            0.279937            1.35673             
3.075     0.176353            0.278825            1.35185             
3.08      0.177233            0.277718            1.34698             
3.085     0.178122            0.276617            1.34212             
3.09      0.17902             0.275522            1.33727             
3.095     0.179927            0.274431            1.33243             
3.1       0.180843            0.273346            1.3276              
3.105     0.181769            0.272267            1.32279             
3.11      0.182703            0.271193            1.31798             
3.115     0.183647            0.270124            1.31318             
3.12      0.1846              0.26906             1.30839             
3.125     0.185563            0.268002            1.30362             
